,index,FrameNo,x1,y1,x2,y2,trackNo,detection,x,y,x_trans,y_trans
15,191.0,142.0,31.053949897204035,364.0233563105368,42.75580114126704,376.00411379366767,7.0,1.0,7.073434474520146,126.0787541659015,-5.294652108937358,-1.3925403430163743
16,194.0,143.0,30.770779836162323,364.0803174757041,42.5534223388691,376.11366741247474,7.0,1.0,7.026902708440511,126.10712335131936,-5.297950246140696,-1.3867554809557239
17,197.0,144.0,29.93735300947977,363.6929221158579,42.02047378518567,375.8719996264329,7.0,1.0,6.895958401155438,125.99994963016806,-5.3098509233527675,-1.3844935189323453
18,200.0,145.0,29.6583578040092,363.604600350885,41.79404026602184,375.8122217788399,7.0,1.0,6.847521481711309,125.9747178443235,-5.323511246506805,-1.4157789721194463
19,203.0,146.0,29.41034980577283,363.5642020635733,41.59527942892684,375.7090834863636,7.0,1.0,6.804706134992052,125.95026346406331,-5.33090277331169,-1.4257181834879311
20,206.0,147.0,29.18670583844333,363.4892224901987,41.3613507017121,375.559076842025,7.0,1.0,6.760855418431563,125.91193247882329,-5.327899082441537,-1.4166601467555757
21,209.0,148.0,28.815843468604363,363.4651424874217,40.983115830039374,375.380308348164,7.0,1.0,6.689066932786692,125.87737310532202,-5.336500560561943,-1.4276267043787683
22,212.0,149.0,28.711924251550137,363.3303341388319,40.7731552515091,375.231783372732,7.0,1.0,6.658986785709844,125.82910150197014,-5.337948071715311,-1.4288832690095419
23,215.0,150.0,28.629157181986205,363.2038808670897,40.60958276680222,375.0165081666266,7.0,1.0,6.635379245092224,125.77088109463314,-5.335947150075436,-1.4298297871485663
24,218.0,151.0,28.622261693823827,363.1683202740757,40.47748914511796,374.8321980320115,7.0,1.0,6.622059455398588,125.73342163733338,-5.331469400999706,-1.4207422699675123
25,221.0,152.0,28.662211379900093,363.2241009938514,40.42971214325102,374.79957591072827,7.0,1.0,6.621309337635315,125.73736717633578,-5.281963824567238,-1.437594747773213
26,223.0,153.0,28.583881997728994,363.07419790238833,40.25621162636669,374.5387999978478,7.0,1.0,6.597175638975837,125.66739964226244,-5.340904218262063,-1.43308639090837
27,225.0,154.0,28.45845155793988,363.1813426249959,40.00946475344085,374.490143710631,7.0,1.0,6.5615086465073205,125.67736433866236,-5.2869932097381955,-1.4487639372886107
28,227.0,155.0,28.514934565176294,363.424368614094,40.03656903644465,374.6758386634437,7.0,1.0,6.56951909515534,125.75040568432124,-5.281409966204075,-1.436701691000414
29,229.0,156.0,28.37488605956829,363.3786712719434,39.892916003973575,374.626621314983,7.0,1.0,6.542331031089429,125.7342350333282,-5.285787717762041,-1.437688979011626
30,231.0,157.0,28.23483811814886,363.3329744807521,39.749262407313935,374.5774034155632,7.0,1.0,6.515142967023518,125.71806438233521,-5.2840289725406,-1.437547613577673
31,233.0,158.0,27.89839177865732,363.6130672985103,39.546548562587326,375.0116433729565,7.0,1.0,6.463473449369279,125.83976552180545,-5.286578303241152,-1.4344072334575646
32,235.0,159.0,27.76748710620754,363.5685724080763,39.47382180298132,375.0503441220272,7.0,1.0,6.443958770463933,125.8387783717954,-5.28531168036307,-1.4256711165122244
33,237.0,160.0,27.51482459110069,363.7971179597012,39.31616954969222,375.3417660351756,7.0,1.0,6.404636938492654,125.92736542134938,-5.289460952416873,-1.4321504195336194
